#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         635     3.94496     4.07391  0.00727956
         636     3.94239      4.0737  0.00727105
         637      3.9398     4.07349  0.00726268
         638      3.9372     4.07328  0.00725443
         639     3.93459     4.07306  0.00724633
         640     3.93195     4.07284  0.00723836
         641     3.92928     4.07262  0.00723053
         642     3.92657     4.07239  0.00722284
         643     3.92383     4.07216  0.00721531
         644     3.92105     4.07192  0.00720792
         645     3.91822     4.07168  0.00720068
         646     3.91534     4.07144   0.0071936
         647     3.91242      4.0712  0.00718668
         648     3.90944     4.07095  0.00717992
         649     3.90643     4.07069  0.00717333
         650     3.90338     4.07044  0.00716691
         651     3.90031     4.07017  0.00716067
         652     3.89723     4.06991  0.00715459
         653     3.89414     4.06964   0.0071487
         654     3.89108     4.06937  0.00714298
         655     3.88806     4.06909  0.00713744
         656     3.88509     4.06881  0.00713207
         657     3.88221     4.06853  0.00712686
         658     3.87945     4.06824  0.00712182
         659     3.87682     4.06795  0.00711694
         660     3.87435     4.06765   0.0071122
         661     3.87206     4.06736  0.00710759
         662     3.86999     4.06706   0.0071031
         663     3.86816     4.06676  0.00709872
         664     3.86657     4.06646  0.00709443
         665     3.86527     4.06616  0.00709021
         666     3.86425     4.06585  0.00708604
         667     3.86352     4.06555  0.00708191
         668     3.86311     4.06525  0.00707779
         669       3.863     4.06494  0.00707366
         670      3.8632     4.06464  0.00706951
         671     3.86369     4.06434  0.00706532
         672     3.86448     4.06405  0.00706106
         673     3.86555     4.06375  0.00705672
         674     3.86688     4.06346   0.0070523
         675     3.86845     4.06317  0.00704776
         676     3.87025     4.06289  0.00704311
         677     3.87224      4.0626  0.00703834
         678     3.87441     4.06233  0.00703343
         679     3.87672     4.06205  0.00702838
         680     3.87916     4.06178  0.00702319
         681      3.8817     4.06152  0.00701785
         682     3.88431     4.06126  0.00701237
         683     3.88697       4.061  0.00700674
         684     3.88965     4.06075  0.00700098
         685     3.89234     4.06051  0.00699507
         686     3.89501     4.06027  0.00698903
         687     3.89765     4.06003  0.00698287
         688     3.90024      4.0598  0.00697658
         689     3.90276     4.05957  0.00697018
         690     3.90521     4.05935  0.00696366
         691     3.90757     4.05913  0.00695705
         692     3.90984     4.05891  0.00695034
         693       3.912      4.0587  0.00694354
         694     3.91404     4.05849  0.00693667
         695     3.91597     4.05829  0.00692971
         696     3.91778     4.05808   0.0069227
         697     3.91946     4.05788  0.00691562
         698     3.92102     4.05769  0.00690849
         699     3.92245     4.05749  0.00690132
         700     3.92375      4.0573   0.0068941
         701     3.92492     4.05711  0.00688686
         702     3.92597     4.05693  0.00687958
         703     3.92688     4.05674  0.00687228
         704     3.92767     4.05656  0.00686496
         705     3.92832     4.05638  0.00685763
         706     3.92885      4.0562   0.0068503
         707     3.92926     4.05602  0.00684296
         708     3.92953     4.05584  0.00683563
         709     3.92968     4.05566   0.0068283
         710     3.92971     4.05548  0.00682099
         711     3.92961     4.05531  0.00681369
         712     3.92938     4.05513  0.00680642
         713     3.92902     4.05495  0.00679917
         714     3.92854     4.05478  0.00679195
         715     3.92793      4.0546  0.00678477
         716     3.92719     4.05442  0.00677763
         717     3.92633     4.05424  0.00677053
         718     3.92533     4.05406  0.00676348
         719      3.9242     4.05388  0.00675648
         720     3.92294      4.0537  0.00674955
         721     3.92155     4.05352  0.00674267
         722     3.92003     4.05333  0.00673587
         723     3.91837     4.05315  0.00672914
         724     3.91658     4.05296  0.00672249
         725     3.91465     4.05277  0.00671592
         726      3.9126     4.05257  0.00670944
         727     3.91041     4.05238  0.00670306
         728      3.9081     4.05218  0.00669679
         729     3.90566     4.05198  0.00669062
