#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         420     2.69105     2.74618  0.00680355
         421     2.69241     2.74605  0.00678859
         422     2.69385     2.74593  0.00677363
         423     2.69535     2.74581  0.00675867
         424     2.69687     2.74569  0.00674371
         425     2.69839     2.74558  0.00672876
         426     2.69987     2.74547  0.00671382
         427     2.70129     2.74537   0.0066989
         428     2.70261     2.74527  0.00668399
         429      2.7038     2.74517  0.00666911
         430     2.70485     2.74508  0.00665426
         431     2.70572     2.74499  0.00663945
         432      2.7064      2.7449  0.00662468
         433     2.70688     2.74481  0.00660996
         434     2.70712     2.74472   0.0065953
         435     2.70714     2.74464  0.00658071
         436      2.7069     2.74455  0.00656618
         437      2.7064     2.74446  0.00655174
         438     2.70565     2.74438  0.00653738
         439     2.70463     2.74428  0.00652311
         440     2.70335     2.74419  0.00650895
         441     2.70181      2.7441   0.0064949
         442     2.70001       2.744  0.00648097
         443     2.69797     2.74389  0.00646718
         444     2.69569     2.74378  0.00645352
         445     2.69319     2.74367  0.00644002
         446      2.6905     2.74355  0.00642668
         447     2.68762     2.74343  0.00641352
         448     2.68458     2.74329  0.00640055
         449     2.68142     2.74316  0.00638778
         450     2.67815     2.74301  0.00637522
         451     2.67482     2.74286  0.00636288
         452     2.67144      2.7427  0.00635076
         453     2.66807     2.74254  0.00633888
         454     2.66474     2.74237  0.00632723
         455     2.66147     2.74219  0.00631582
         456     2.65831       2.742  0.00630465
         457     2.65529     2.74182  0.00629371
         458     2.65244     2.74162  0.00628299
         459     2.64977     2.74142  0.00627249
         460     2.64733     2.74122  0.00626219
         461     2.64512     2.74101  0.00625207
         462     2.64317      2.7408  0.00624213
         463     2.64147     2.74058  0.00623233
         464     2.64003     2.74036  0.00622266
         465     2.63885     2.74015  0.00621311
         466     2.63792     2.73993  0.00620365
         467     2.63724     2.73971  0.00619426
         468     2.63679     2.73949  0.00618493
         469     2.63656     2.73927  0.00617563
         470     2.63652     2.73905  0.00616636
         471     2.63666     2.73883   0.0061571
         472     2.63696     2.73862  0.00614784
         473     2.63739      2.7384  0.00613856
         474     2.63794     2.73819  0.00612927
         475     2.63858     2.73798  0.00611995
         476     2.63931     2.73777   0.0061106
         477     2.64009     2.73757  0.00610122
         478     2.64092     2.73737  0.00609181
         479     2.64179     2.73717  0.00608236
         480     2.64268     2.73697  0.00607287
         481     2.64359     2.73677  0.00606335
         482     2.64451     2.73658  0.00605379
         483     2.64542     2.73639   0.0060442
         484     2.64634     2.73621  0.00603457
         485     2.64726     2.73603  0.00602492
         486     2.64818     2.73584  0.00601523
         487      2.6491     2.73567  0.00600551
         488     2.65002     2.73549  0.00599577
         489     2.65095     2.73532    0.005986
         490     2.65189     2.73515  0.00597621
         491     2.65285     2.73498  0.00596639
         492     2.65383     2.73481  0.00595654
         493     2.65484     2.73465  0.00594667
         494     2.65589     2.73449  0.00593676
         495     2.65698     2.73434  0.00592684
         496     2.65812     2.73418  0.00591688
         497     2.65932     2.73403  0.00590689
         498     2.66058     2.73388  0.00589687
         499      2.6619     2.73374  0.00588682
         500      2.6633      2.7336  0.00587673
         501     2.66478     2.73346   0.0058666
         502     2.66634     2.73333  0.00585644
         503     2.66799      2.7332  0.00584624
         504     2.66972     2.73307    0.005836
         505     2.67153     2.73295  0.00582571
         506     2.67342     2.73283  0.00581539
         507     2.67539     2.73272  0.00580502
         508     2.67743     2.73261  0.00579461
         509     2.67953     2.73251  0.00578417
         510     2.68168     2.73241  0.00577368
         511     2.68386     2.73231  0.00576317
         512     2.68605     2.73222  0.00575262
         513     2.68825     2.73214  0.00574204
         514     2.69042     2.73206  0.00573144
         515     2.69254     2.73198  0.00572083
         516     2.69459     2.73191   0.0057102
         517     2.69654     2.73184  0.00569957
         518     2.69837     2.73177  0.00568893
         519     2.70004     2.73171   0.0056783
         520     2.70152     2.73165  0.00566767
         521      2.7028      2.7316  0.00565707
         522     2.70383     2.73155  0.00564648
         523     2.70461     2.73149  0.00563592
         524     2.70509     2.73144  0.00562539
         525     2.70527     2.73139  0.00561489
         526     2.70512     2.73134  0.00560444
         527     2.70464     2.73129  0.00559403
         528     2.70381     2.73124  0.00558368
         529     2.70263     2.73119  0.00557339
         530     2.70109     2.73113  0.00556316
         531     2.69922     2.73107  0.00555301
         532     2.69701     2.73101  0.00554294
         533     2.69451     2.73094  0.00553296
         534     2.69172     2.73086  0.00552309
         535     2.68869     2.73078  0.00551333
         536     2.68547      2.7307  0.00550369
         537     2.68209     2.73061  0.00549419
         538     2.67862     2.73051  0.00548482
         539      2.6751     2.73041  0.00547561
         540     2.67159      2.7303  0.00546656
         541     2.66815     2.73019  0.00545766
         542     2.66484     2.73007  0.00544892
         543     2.66169     2.72994  0.00544034
         544     2.65876     2.72981  0.00543191
         545     2.65606     2.72967  0.00542363
         546     2.65361     2.72953  0.00541549
         547     2.65143     2.72939  0.00540747
         548     2.64951     2.72925  0.00539956
         549     2.64784      2.7291  0.00539177
         550     2.64638     2.72895  0.00538406
         551     2.64511      2.7288  0.00537644
         552     2.64398     2.72864  0.00536889
         553     2.64294     2.72849  0.00536142
         554     2.64197     2.72833  0.00535402
         555     2.64099     2.72817  0.00534668
         556     2.63999     2.72801  0.00533942
         557     2.63891     2.72785  0.00533223
         558     2.63772     2.72769  0.00532512
         559      2.6364     2.72753  0.00531809
         560     2.63493     2.72736  0.00531117
         561     2.63329      2.7272  0.00530435
         562     2.63149     2.72703  0.00529764
         563     2.62951     2.72685  0.00529106
         564     2.62738     2.72668  0.00528462
         565     2.62511      2.7265  0.00527832
         566     2.62273     2.72631  0.00527218
         567     2.62025     2.72613   0.0052662
         568     2.61771     2.72594  0.00526039
         569     2.61516     2.72574  0.00525474
         570     2.61262     2.72554  0.00524927
         571     2.61015     2.72534  0.00524397
         572     2.60778     2.72513  0.00523882
         573     2.60555     2.72493  0.00523384
         574     2.60352     2.72471  0.00522899
         575     2.60171      2.7245  0.00522427
         576     2.60017     2.72428  0.00521966
         577     2.59892     2.72407  0.00521513
         578     2.59801     2.72385  0.00521067
         579     2.59743     2.72363  0.00520624
         580     2.59722     2.72341  0.00520182
         581     2.59737      2.7232  0.00519739
         582      2.5979     2.72298  0.00519292
         583     2.59878     2.72277  0.00518838
         584     2.60001     2.72256  0.00518375
         585     2.60157     2.72235  0.00517902
         586     2.60344     2.72215  0.00517415
         587     2.60558     2.72195  0.00516915
         588     2.60796     2.72176  0.00516399
         589     2.61055     2.72157  0.00515867
         590     2.61331     2.72138  0.00515319
         591     2.61619     2.72121  0.00514754
         592     2.61917     2.72103  0.00514173
         593     2.62221     2.72087  0.00513576
         594     2.62526     2.72071  0.00512964
         595     2.62831     2.72055  0.00512337
         596      2.6313      2.7204  0.00511696
         597     2.63422     2.72026  0.00511042
         598     2.63704     2.72012  0.00510377
         599     2.63974     2.71998  0.00509701
         600     2.64229     2.71985  0.00509016
         601     2.64468     2.71973  0.00508323
         602     2.64689     2.71961  0.00507623
         603     2.64892     2.71949  0.00506916
         604     2.65075     2.71938  0.00506205
         605     2.65237     2.71927  0.00505489
         606     2.65379     2.71916   0.0050477
         607     2.65499     2.71905   0.0050405
         608     2.65598     2.71895  0.00503327
         609     2.65676     2.71885  0.00502604
         610     2.65734     2.71874  0.00501882
         611     2.65771     2.71865   0.0050116
         612     2.65788     2.71855  0.00500439
         613     2.65787     2.71845   0.0049972
         614     2.65767     2.71835  0.00499005
         615      2.6573     2.71825  0.00498292
         616     2.65677     2.71815  0.00497583
         617     2.65609     2.71805  0.00496878
         618     2.65526     2.71795  0.00496178
         619     2.65431     2.71784  0.00495483
         620     2.65324     2.71774  0.00494793
         621     2.65206     2.71763   0.0049411
         622     2.65078     2.71753  0.00493432
